Test Data,,,,,,,,,,
Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN6007 II KV160,"P22*6.6""",40%,47.7,1696,0.4,3.12,2870,149,11.39,83
,,42%,47.69,1833,0.44,3.52,2987,168,10.93,
,,44%,47.68,2061,0.49,4.18,3165,199,10.35,
,,46%,47.66,2179,0.51,4.52,3249,216,10.11,
,,48%,47.65,2316,0.54,4.92,3343,234,9.88,
,,50%,47.65,2469,0.58,5.4,3448,257,9.6,
,,52%,47.63,2590,0.61,5.82,3532,277,9.35,
,,54%,47.62,2737,0.64,6.28,3623,299,9.15,
,,56%,47.61,2875,0.67,6.76,3706,322,8.93,
,,58%,47.59,3033,0.71,7.3,3801,348,8.72,
,,60%,47.58,3168,0.74,7.79,3885,371,8.54,
,,62%,47.57,3314,0.77,8.39,3976,399,8.3,
,,64%,47.56,3447,0.8,8.91,4055,424,8.13,
,,66%,47.55,3618,0.84,9.56,4148,455,7.96,
,,68%,47.53,3773,0.88,10.17,4229,484,7.8,
,,70%,47.52,3887,0.9,10.55,4290,501,7.75,
,,80%,47.45,4641,1.08,14.05,4686,667,6.96,
,,90%,47.37,5469,1.27,18.1,5046,857,6.38,
,,100%,47.25,6419,1.49,23.76,5456,1123,5.72,
